PO Number,PO Item,Latest Valid GR,Latest Valid GR Posting Date,GR Amt,Invoice Amt,Down Payment Amt,Down Payment Clearing
4500000217,40,5000002039,20230216,13940.1,13940.1,0.0,0.0
4500000217,50,5000002046,20230216,1872.0,1872.0,0.0,0.0
4500000217,60,5000002046,20230216,1423.8,1423.8,0.0,0.0
4500000217,70,5000002046,20230216,1227.6,1227.6,0.0,0.0
4500000217,80,5000002046,20230216,38904.0,38904.0,0.0,0.0
4500000217,90,5000002039,20230216,6484.0,6484.0,0.0,0.0
4500000218,10,5000003822,20230309,52.0,52.0,0.0,0.0
4500000218,20,5000003822,20230309,598.0,676.0,0.0,0.0
4500000218,30,5000003822,20230309,132.0,132.0,0.0,0.0
4500000218,40,5000003822,20230309,1237.5,1237.5,0.0,0.0
4500000218,50,5000003822,20230309,11250.0,11250.0,0.0,0.0
4500000218,60,5000003822,20230309,1250.0,1250.0,0.0,0.0
4500000219,10,5000000620,20230125,962.0,962.0,0.0,0.0
4500000220,10,5000000629,20230125,780.0,780.0,0.0,0.0
4500000220,20,5000000629,20230125,9450.0,9450.0,0.0,0.0
4500000221,10,5000000546,20230118,7580.0,7580.0,0.0,0.0
4500000221,20,5000000681,20230130,1275.0,1159.09,0.0,0.0
4500000222,10,5000000626,20230125,3375.0,3375.0,0.0,0.0
4500000222,20,5000000626,20230125,102.6,99.5,0.0,0.0
4500000222,30,5000000626,20230125,665.0,665.0,0.0,0.0
4500000222,40,5000000626,20230125,285.0,355.35,0.0,0.0
4500000224,10,5000002041,20230216,38880.0,38880.0,0.0,0.0
4500000225,10,5000000559,20230120,80.0,100.0,0.0,0.0
4500000225,20,5000000559,20230120,1470.0,1560.0,0.0,0.0
4500000225,30,5000000559,20230120,180.0,200.0,0.0,0.0
4500000225,40,5000000559,20230120,2520.0,2670.0,0.0,0.0
4500000226,10,5000000697,20230130,225.0,225.0,0.0,0.0
4500000226,20,5000000697,20230130,5100.0,5100.0,0.0,0.0
4500000226,30,5000000697,20230130,4290.0,4290.0,0.0,0.0
4500000227,10,5000000625,20230125,207.2,207.2,0.0,0.0
4500000227,20,5000000625,20230125,207.2,207.2,0.0,0.0
4500000228,10,5000004857,20230317,4245.0,4245.0,0.0,0.0
4500000229,10,5000000627,20230125,192.0,190.92,0.0,0.0
4500000229,20,5000000627,20230125,1500.0,1500.0,0.0,0.0
4500000229,30,5000000627,20230125,32.0,31.81,0.0,0.0
4500000229,40,5000000627,20230125,135.5,135.45,0.0,0.0
4500000229,50,5000000627,20230125,867.0,867.27,0.0,0.0
4500000229,60,5000000627,20230125,25500.0,22500.0,0.0,0.0
4500000230,10,5000000632,20230125,430.0,430.0,0.0,0.0
4500000231,10,5000010353,20230518,1801.1,2536.82,0.0,0.0
4500000232,10,5000001667,20230210,3929.55,3929.55,0.0,0.0
4500000233,10,5000001666,20230210,3929.55,3929.55,0.0,0.0
4500000234,10,5000001665,20230210,3929.55,3929.55,0.0,0.0
4500000235,10,5000001708,20230210,3929.55,3929.55,0.0,0.0
4500000236,10,5000001707,20230210,3929.55,3929.55,0.0,0.0
